Thời gian tạo đơn,Mã đơn hàng,Mã khách hàng,Tên khách hàng,Mã PKKH,Mô tả Phân Khúc Khách hàng,Mã nhóm hàng,Tên nhóm hàng,Mã mặt hàng,Tên mặt hàng,SL,Đơn giá,Thành tiền
1/1/2022 8:01,ORD0000001,CUZ00001,Lê Vũ Tâm,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 8:01,ORD0000001,CUZ00001,Lê Vũ Tâm,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,1,150000,150000
1/1/2022 8:01,ORD0000001,CUZ00001,Lê Vũ Tâm,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",THO,Trà hoa,THO05,Trà hoa Atiso,1,50000,50000
1/1/2022 8:01,ORD0000001,CUZ00001,Lê Vũ Tâm,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 8:18,ORD0000002,CUZ00002,Phạm Công Bình,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 8:18,ORD0000002,CUZ00002,Phạm Công Bình,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,1,150000,150000
1/1/2022 8:18,ORD0000002,CUZ00002,Phạm Công Bình,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,2,30000,60000
1/1/2022 8:25,ORD0000003,CUZ00003,Phạm Văn Linh,C3,Người mua để uống không có mục đích cụ thể (45+),TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 8:25,ORD0000003,CUZ00003,Phạm Văn Linh,C3,Người mua để uống không có mục đích cụ thể (45+),TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 8:25,ORD0000003,CUZ00003,Phạm Văn Linh,C3,Người mua để uống không có mục đích cụ thể (45+),TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
